item,name,group,klub_short,district,districtLabel,gender,dob,dobPrecision,psid
Q11768599,Marek Zagórski,Q108524676,PiS,,,male,1967-08-06T00:00:00Z,11,Q11768599-C75B416E-9757-4310-AC46-373D56E06369
Q11768918,Maria Małgorzata Janyska,Q108524655,KO,,,female,1962-01-16T00:00:00Z,11,Q11768918-7882A91D-955E-4CB8-AE66-43BA62B1633C
Q11770240,Mariusz Witczak,Q108524655,KO,,,male,1971-04-14T00:00:00Z,11,Q11770240-DE38C926-32D0-4990-AE08-F874031800B8
Q11770976,Marzena Okła-Drewnowicz,Q108524655,KO,,,female,1972-05-20T00:00:00Z,11,Q11770976-DBA647B4-1CD0-49FF-A7A0-626E735D2426
Q11771436,Mateusz Morawiecki,Q108524676,PiS,,,male,1968-06-20T00:00:00Z,11,Q11771436-4B9418F7-7A8E-4640-82AB-14B4C0D2F009
Q11772360,Małgorzata Pępek,Q108524655,KO,,,female,1961-06-10T00:00:00Z,11,Q11772360-FB2D4A9F-7FAF-4645-BEA7-5C3D063B4BF9
Q11772373,Małgorzata Sekuła-Szmajdzińska,Q108524674,Lewica,,,female,1956-04-19T00:00:00Z,11,Q11772373-69942245-DF81-4E88-B44A-358427A7CE3F
Q11778705,Michał Dworczyk,Q108524676,PiS,,,male,1975-07-22T00:00:00Z,11,Q11778705-DAD9D0E2-5CA5-4251-A72B-4D85C287DAA3
Q11778765,Michał Gramatyka,Q108524677,Polska2050,,,male,1971-10-08T00:00:00Z,11,Q11778765-0281A5C2-7394-480B-B1F2-6F9A54EC0CB3
Q11778830,Michał Jaros,Q108524655,KO,,,male,1981-01-26T00:00:00Z,11,Q11778830-B5A2019C-6DB5-4EDC-99AC-56B193DC4383
Q11817234,Piotr Adamowicz,Q108524655,KO,,,male,1961-06-26T00:00:00Z,11,Q11817234-7B47FC93-7BFD-48C4-AFD5-DD68A5290343
Q11817487,Piotr Gliński,Q108524676,PiS,,,male,1954-04-20T00:00:00Z,11,Q11817487-4B139C65-DBB6-4236-A74D-A76282307F77
Q11817602,Piotr Kaleta,Q108524676,PiS,,,male,1968-06-25T00:00:00Z,11,Q11817602-B8698F26-7DDE-4C37-AAB5-A23DAEC87BB6
Q11817962,Piotr Polak,Q108524676,PiS,,,male,1961-01-20T00:00:00Z,11,Q11817962-1923263A-13C1-4289-A397-728955FD9348
Q11818289,Piotr Zgorzelski,Q108524672,KP,,,male,1963-09-17T00:00:00Z,11,Q11818289-45155477-4E38-4AEB-9B96-473D14043952
Q123758,Adam Lipiński,Q108524676,PiS,,,male,1956-09-11T00:00:00Z,11,Q123758-A9C49FCE-E11F-43FB-9046-5DB9B0EAFA02
Q1249225,Marek Sawicki,Q108524672,KP,,,male,1958-04-08T00:00:00Z,11,Q1249225-29665381-8600-4997-B10C-AAD6B64BA8FA
Q1285126,Mirosława Nykiel,Q108524655,KO,,,female,1953-09-23T00:00:00Z,11,Q1285126-BC70889D-FE9D-4C60-9F0C-49546437C84C
Q1374797,Władysław Kosiniak-Kamysz,Q108524672,KP,,,male,1981-08-10T00:00:00Z,11,Q1374797-4AFEBFEF-8E22-454E-91DE-2FAE067783CE
Q1377262,Grzegorz Napieralski,Q108524655,KO,,,male,1974-03-18T00:00:00Z,11,Q1377262-0DDFE780-2F33-4C7C-BD5F-AD85184DAE2B
Q1392390,Jarosław Wałęsa,Q108524655,KO,,,male,1976-09-13T00:00:00Z,11,Q1392390-1640499C-ED97-4AB6-854F-380E3ECAC0B8
Q1408441,Marek Kwitek,Q108524676,PiS,,,male,1961-04-28T00:00:00Z,11,Q1408441-5F39B801-D7F4-4F87-953B-A179EC479815
Q14918608,Piotr Benedykt Zientarski,Q108524655,KO,,,male,1952-04-16T00:00:00Z,11,Q14918608-9E470FB3-E87F-43D7-A621-32B2FC173565
Q159472,Zbigniew Ziobro,Q108524676,PiS,,,male,1970-08-18T00:00:00Z,11,Q159472-CAB4A7CA-1F57-4626-B434-6E93EE83525A
Q1607519,Henryka Krzywonos-Strycharska,Q108524655,KO,,,female,1953-03-27T00:00:00Z,11,Q1607519-612FB67D-1CA8-470C-BBE8-BAE93277B45C
Q164525,Wojciech Saługa,Q108524655,KO,,,male,1969-03-27T00:00:00Z,11,Q164525-46CF574E-C5F2-4147-9B73-E4AFE9AFE2E2
Q16538939,Dariusz Klimczak,Q108524672,KP,,,male,1980-06-17T00:00:00Z,11,Q16538939-0FB3A6DD-23F9-410C-9872-2FDAE1AD802A
Q165616,Jacek Żalek,Q108524676,PiS,,,male,1973-01-13T00:00:00Z,11,Q165616-120F435B-A209-4F64-BF7B-3FB84E91B9A0
Q16562965,Jerzy Wilk,Q108524676,PiS,,,male,1955-03-15T00:00:00Z,11,Q16562965-602A35D8-8959-441D-8D96-1AD0F609F090
Q1665454,Marek Ast,Q108524676,PiS,,,male,1958-09-27T00:00:00Z,11,Q1665454-0AB88B79-EADD-4A83-9917-15907482ECC4
Q1669250,Piotr Babinetz,Q108524676,PiS,,,male,1969-09-09T00:00:00Z,11,Q1669250-FB8A3488-CDE2-4AB7-9650-50C8CBE50F06
Q1676071,Iwona Arent,Q108524676,PiS,,,female,1968-06-04T00:00:00Z,11,Q1676071-266EF709-FD08-449E-9704-6886055C034A
Q1676939,Jacek Protasiewicz,Q108524672,KP,,,male,1967-06-05T00:00:00Z,11,Q1676939-DC3A2073-0BA0-46FA-BE92-4AFBF24EB36C
Q167972,Zbigniew Babalski,Q108524676,PiS,,,male,1953-04-27T00:00:00Z,11,Q167972-0178E63F-EC46-460A-9F03-6F67E1860962
Q168030,Zbigniew Chmielowiec,Q108524676,PiS,,,male,1954-09-22T00:00:00Z,11,Q168030-35D99528-898C-430F-A43B-BC68E5B1F00D
Q168051,Zbigniew Dolata,Q108524676,PiS,,,male,1965-12-01T00:00:00Z,11,Q168051-4844425D-380A-42F4-8153-7319F293ADEC
Q168064,Zbigniew Girzyński,Q108524690,PS,,,male,1973-03-17T00:00:00Z,11,Q168064-068753C8-14A6-4E6E-AE9F-D601FB1232AC
Q1681725,Jan Dziedziczak,Q108524676,PiS,,,male,1981-08-03T00:00:00Z,11,Q1681725-FC9B1539-C263-47C3-AD6C-5E82F36570BB
Q168205,Grzegorz Braun,Q108524680,Konfederacja,,,male,1967-03-11T00:00:00Z,11,Q168205-24DD375C-4190-4A39-B082-DAA6D1453256
Q1683061,Janusz Korwin-Mikke,Q108524680,Konfederacja,,,male,1942-10-27T00:00:00Z,11,Q1683061-98BD9208-F6C3-41CD-9A0F-5DDBE08B0FB8
Q1716183,Monika Wielichowska,Q108524655,KO,,,female,1973-10-04T00:00:00Z,11,Q1716183-7C7DFB6F-3667-43AE-97EC-7032C9A4DF1F
Q1737514,Kazimierz Gwiazdowski,Q108524676,PiS,,,male,1962-06-10T00:00:00Z,11,Q1737514-6352C450-B947-4AA4-A142-9C6C69A2F256
Q1748055,Mariusz Błaszczak,Q108524676,PiS,,,male,1969-09-19T00:00:00Z,11,Q1748055-818FF27E-1AC0-4B51-9883-509D7A9EBD83
Q17544437,Przemysław Czarnecki,Q108524676,PiS,,,male,1983-09-12T00:00:00Z,11,Q17544437-727E5533-16FF-467F-9DE6-5B3738EA54A4
Q17705219,Bartłomiej Wróblewski,Q108524676,PiS,,,male,1975-03-13T00:00:00Z,11,Q17705219-A67A1373-46A4-4BF7-B141-2B4C47AA2554
Q18613937,Urszula Nowogórska,Q108524672,KP,,,female,1978-09-29T00:00:00Z,11,Q18613937-E7A1556E-4C75-4E00-BF39-97D2BCD612B1
Q18613944,Maria Kurowska,Q108524676,PiS,,,female,1954-06-03T00:00:00Z,11,Q18613944-31F72897-C341-433A-A99D-C30E9999D1EB
Q186343,Andrzej Gut-Mostowy,Q108524676,PiS,,,male,1960-10-30T00:00:00Z,11,Q186343-9EAEC3BB-8901-4EB2-8263-719A0CC20434
Q18649957,Mieczysław Baszko,Q108524676,PiS,,,male,1961-06-26T00:00:00Z,11,Q18649957-A48AE91C-3B4A-4611-8DCB-4B37E4D499C3
Q1906523,Marzena Machałek,Q108524676,PiS,,,female,1960-08-29T00:00:00Z,11,Q1906523-C5A65AA7-24D5-4F12-B449-BBE53793CA1C
Q19267935,Hanna Gill-Piątek,Q108524677,Polska2050,,,female,1974-04-13T00:00:00Z,11,Q19267935-1AE8FC83-A0AB-49BB-8D4B-73F9E70B5699
Q19268672,Maciej Gdula,Q108524674,Lewica,,,male,1977-05-20T00:00:00Z,11,Q19268672-A5E161EA-3F5A-4B4E-B364-276CC12BAE2F
Q19269610,Robert Winnicki,Q108524680,Konfederacja,,,male,1985-07-18T00:00:00Z,11,Q19269610-3333DE58-4467-4AB3-810F-CB14F564CF7E
Q19690145,Paweł Bejda,Q108524672,KP,,,male,1962-10-13T00:00:00Z,11,Q19690145-03311C51-7EAF-4A1A-B61C-A5E5ABD7D7FE
Q19690160,Marcin Duszek,Q108524676,PiS,,,male,1982-02-10T00:00:00Z,11,Q19690160-543DB889-8A47-470E-B7B4-3F580C387F51
Q19690174,Jerzy Hardie-Douglas,Q108524655,KO,,,male,1951-02-01T00:00:00Z,11,Q19690174-1C5AB333-E27F-4AB8-A700-66837E02B0AF
Q19690214,Katarzyna Osos,Q108524655,KO,,,female,1980-11-17T00:00:00Z,11,Q19690214-210696C2-5970-4957-A00F-3827A7FAE64F
Q19690215,Krzysztof Paszyk,Q108524672,KP,,,male,1979-04-10T00:00:00Z,11,Q19690215-3D2D1180-EB1A-43D6-883A-974D8E1C8C3A
Q19690234,Dariusz Stefaniuk,Q108524676,PiS,,,male,1981-05-10T00:00:00Z,11,Q19690234-A7A2D7EA-2AA7-48F1-9C93-B4A638EA2F2A
Q20278674,Barbara Nowacka,Q108524655,KO,Q5529401,Gdynia,female,1975-05-10T00:00:00Z,11,Q20278674-8f1ab62d-4a49-2e42-7eed-c77ec21eac78
Q20873946,Małgorzata Tracz,Q108524655,KO,,,female,1985-12-08T00:00:00Z,11,Q20873946-81AC1BE0-A4CE-4EC6-A309-CEF570359D02
Q20900564,Tomasz Kostuś,Q108524655,KO,,,male,1974-03-07T00:00:00Z,11,Q20900564-EB98AD90-0AAE-411D-88C4-F75F971834C6
Q20900566,Gabriela Lenartowicz,Q108524655,KO,,,female,1960-12-12T00:00:00Z,11,Q20900566-04B4695E-5583-42F1-BDA7-CCC3FA4A74CA
Q20900567,Jan Mosiński,Q108524676,PiS,,,male,1956-12-19T00:00:00Z,11,Q20900567-2BDD0D32-2E50-40B5-98F0-405699CEADC2
Q20900575,Urszula Rusecka,Q108524676,PiS,,,female,1966-09-11T00:00:00Z,11,Q20900575-FC886455-BC34-4298-9257-A1BA12242117
Q20900591,Anna Wasilewska,Q108524655,KO,,,female,1958-01-10T00:00:00Z,11,Q20900591-B60A6946-E43D-4C8D-87BA-2558A118010F
Q21157896,Adrian Zandberg,Q108524674,Lewica,,,male,1979-12-04T00:00:00Z,11,Q21157896-F8BF7182-9119-43B1-BA29-53592280DAA3
Q21209286,Małgorzata Wassermann,Q108524676,PiS,,,female,1978-03-16T00:00:00Z,11,Q21209286-DA930AFC-D601-413F-865E-F41CD8204056
Q21231228,Kamila Gasiuk-Pihowicz,Q108524655,KO,,,female,1983-05-08T00:00:00Z,11,Q21231228-8E6AA64A-D265-49E9-9319-4770D3DD0CCD
Q21281995,Zbigniew Ajchler,Q327591,bezpartyjny,,,male,1955-11-21T00:00:00Z,11,Q21281995-B38972BC-D2DE-4600-81FF-EB33D2F8997C
Q21281997,Adam Andruszkiewicz,Q108524676,PiS,,,male,1990-06-30T00:00:00Z,11,Q21281997-EBB41BC5-FFB5-4569-A54A-9D43BF47B337
Q21282002,Ryszard Bartosik,Q108524676,PiS,,,male,1968-01-11T00:00:00Z,11,Q21282002-40BB406D-53FD-4A2C-8887-D5D131A644F1
Q21282008,Joanna Borowiak,Q108524676,PiS,,,female,1967-08-20T00:00:00Z,11,Q21282008-A1AF25A6-1DAC-4304-A5E2-A1500AD83091
Q21282013,Waldemar Buda,Q108524676,PiS,,,male,1982-09-21T00:00:00Z,11,Q21282013-78A15D23-05CC-439D-A29F-606D04C88BF7
Q21282014,Lidia Burzyńska,Q108524676,PiS,,,female,1964-08-27T00:00:00Z,11,Q21282014-6525B8AE-9F02-4DFF-9F8B-D117948E9E90
Q21282015,Małgorzata Chmiel,Q108524655,KO,,,female,1953-05-01T00:00:00Z,11,Q21282015-5921A346-F1B1-414A-B0E8-904CE2F448A6
Q21282017,Michał Cieślak,Q108524676,PiS,,,male,1974-12-09T00:00:00Z,11,Q21282017-02EBF977-75B3-4E0E-B79D-5C36273242C7
Q21282018,Adam Cyrański,Q108524655,KO,,,male,1960-03-29T00:00:00Z,11,Q21282018-07DACF72-4814-4886-835D-B2DC92C8A6FC
Q21282020,Anita Czerwińska,Q108524676,PiS,,,female,1970-01-13T00:00:00Z,11,Q21282020-BB7C1D7C-7463-4F90-A241-3CC703883FDD
Q21282021,Barbara Dolniak,Q108524655,KO,,,female,1960-09-12T00:00:00Z,11,Q21282021-491F062A-9EE5-4977-AB6D-90C3B5A53400
Q21282023,Jan Duda,Q108524676,PiS,,,male,1960-05-17T00:00:00Z,11,Q21282023-123FA14A-D23D-4EDF-841C-DC8067DF23FA
Q21282024,Barbara Dziuk,Q108524676,PiS,,,female,1968-12-02T00:00:00Z,11,Q21282024-519C5C67-D36B-4554-93DD-19CCC2F1619D
Q21282025,Joanna Frydrych,Q108524655,KO,,,female,1978-01-13T00:00:00Z,11,Q21282025-2896EDB4-82AB-4E36-BD20-9B817A43B1AB
Q21282027,Kinga Gajewska,Q108524655,KO,,,female,1990-07-22T00:00:00Z,11,Q21282027-F85993EB-D510-42BD-B6C9-0F78C098C164
Q21282028,Leszek Galemba,Q108524676,PiS,,,male,1966-03-07T00:00:00Z,11,Q21282028-9CED4860-6E0B-498B-8C67-7C272D8FBDD7
Q21282030,Andrzej Gawron,Q108524676,PiS,,,male,1965-01-06T00:00:00Z,11,Q21282030-C2C66A76-A244-4BE8-BE4E-D5D76427208F
Q21282031,Teresa Glenc,Q108524676,PiS,,,female,1958-05-27T00:00:00Z,11,Q21282031-D260C180-3065-4718-BCCC-1EF894667612
Q21282033,Marta Golbik,Q108524655,KO,,,female,1985-04-14T00:00:00Z,11,Q21282033-5D11D470-92D7-47B1-B50C-461CD39398A7
Q21282034,Małgorzata Golińska,Q108524676,PiS,,,female,1980-10-30T00:00:00Z,11,Q21282034-217BF9D0-CFDD-440E-805F-1A482800F60B
Q21282035,Jarosław Gonciarz,Q108524676,PiS,,,male,1970-04-28T00:00:00Z,11,Q21282035-43A22D1E-0DC5-468D-8F15-CB4CD38594D4
Q21282039,Teresa Hałas,Q108524676,PiS,,,female,1953-04-13T00:00:00Z,11,Q21282039-DD28B4B9-7590-40BC-94D8-C9F98AD34D80
Q21282041,Paulina Hennig-Kloska,Q108524677,Polska2050,,,female,1977-10-05T00:00:00Z,11,Q21282041-26E334D0-10AB-4B97-ABDC-C10AE88DFE2F
Q21282042,Marcin Horała,Q108524676,PiS,,,male,1981-10-02T00:00:00Z,11,Q21282042-D1DA646F-FC45-4191-96D5-BC8482B81937
Q21282048,Norbert Kaczmarczyk,Q108524676,PiS,,,male,1989-11-16T00:00:00Z,11,Q21282048-993280BF-939C-477C-B393-9D65C0FE1AAA
Q21282049,Filip Kaczyński,Q108524676,PiS,,,male,1987-11-19T00:00:00Z,11,Q21282049-DCC1288F-B194-416A-B8C0-38FC69964AAB
Q21282056,Ewa Kozanecka,Q108524676,PiS,,,female,1974-05-29T00:00:00Z,11,Q21282056-3B46A351-5099-4BC2-8589-7762852A1729
Q21282058,Jarosław Krajewski,Q108524676,PiS,,,male,1983-03-09T00:00:00Z,11,Q21282058-C0BF30DF-4430-4AD8-9A63-814019B88605
Q21282059,Wiesław Krajewski,Q108524676,PiS,,,male,1964-06-03T00:00:00Z,11,Q21282059-B61E021A-BBFF-4297-82CA-A6B764354E67
Q21282060,Wojciech Król,Q108524655,KO,,,male,1985-04-22T00:00:00Z,11,Q21282060-71109A5D-B591-4B41-8572-C35789C4E03E
Q21282061,Anna Krupka,Q108524676,PiS,,,female,1981-10-30T00:00:00Z,11,Q21282061-172DC30C-A26E-49DE-8CB3-82EDAC680475
Q21282062,Andrzej Kryj,Q108524676,PiS,,,male,1960-06-09T00:00:00Z,11,Q21282062-1CDC32CF-EC44-482D-A617-5082D28A0A47
Q21282066,Krzysztof Kubów,Q108524676,PiS,,,male,1984-07-22T00:00:00Z,11,Q21282066-CDFE2A96-D0E0-4578-AE8A-BDD382A02560
Q21282067,Jakub Kulesza,Q108524680,Konfederacja,,,male,1990-11-12T00:00:00Z,11,Q21282067-8F8C058D-B2BC-4429-8D7B-A538664C0879
Q21282069,Anna Kwiecień,Q108524676,PiS,,,female,1964-04-30T00:00:00Z,11,Q21282069-15877E59-E774-4F8F-9826-6704372271BE
Q21282073,Paweł Lisiecki,Q108524676,PiS,,,male,1978-08-15T00:00:00Z,11,Q21282073-F50F7E5D-2167-4288-8F87-2B458F118B14
Q21282074,Radosław Lubczyk,Q108524672,KP,,,male,1978-07-18T00:00:00Z,11,Q21282074-B6DBCAAC-C9A4-44D5-9CAE-54745EA98295
Q21282075,Katarzyna Lubnauer,Q108524655,KO,,,female,1969-07-24T00:00:00Z,11,Q21282075-B210244F-5D0C-4793-9087-E6D19BE0C256
Q21282077,Tomasz Ławniczak,Q108524676,PiS,,,male,1961-08-03T00:00:00Z,11,Q21282077-5C59018B-28C5-4B1D-BB50-FC5FA1142E6A
Q21282082,Jerzy Małecki,Q108524676,PiS,,,male,1972-04-23T00:00:00Z,11,Q21282082-F82E09F3-0FD5-4EAD-B6C8-B39F80C07517
Q21282083,Arkadiusz Marchewka,Q108524655,KO,,,male,1986-01-18T00:00:00Z,11,Q21282083-4D765F4B-EF2C-400D-BA79-43411092B7D2
Q21282085,Beata Mateusiak-Pielucha,Q108524676,PiS,,,female,1963-04-23T00:00:00Z,11,Q21282085-EF01B438-46B8-43E4-A62B-5BAF0779FA21
Q21282087,Iwona Michałek,Q108524679,Porozumienie,,,female,1956-03-13T00:00:00Z,11,Q21282087-6DB2F363-CFCC-4B62-9F96-140F00108A7C
Q21282088,Krzysztof Mieszkowski,Q108524655,KO,,,male,1956-05-19T00:00:00Z,11,Q21282088-C5638D0C-95DB-45E8-BCA6-9A96D7C91721
Q21282090,Daniel Milewski,Q108524676,PiS,,,male,1989-11-22T00:00:00Z,11,Q21282090-5F783AA1-2FDF-4E59-98D3-750CBE527C00
Q21282094,Aleksander Mrówczyński,Q108524676,PiS,,,male,1953-12-09T00:00:00Z,11,Q21282094-48D7B346-6D6A-48F4-9DEB-BB5BC757F3DD
Q21282097,Arkadiusz Myrcha,Q108524655,KO,,,male,1984-02-01T00:00:00Z,11,Q21282097-004F1A02-F61C-4C84-A2B1-1446FAB23C92
Q21282102,Jerzy Paul,Q108524676,PiS,,,male,1972-11-08T00:00:00Z,11,Q21282102-4B42C038-A1C6-4D72-AC19-8BC9D4DDD2C2
Q21282109,Grzegorz Puda,Q108524676,PiS,,,male,1982-07-13T00:00:00Z,11,Q21282109-BE4DC387-9EA6-4E8C-8424-26586703B170
Q21282113,Monika Rosa,Q108524655,KO,,,female,1986-04-24T00:00:00Z,11,Q21282113-A36577B1-16C0-478F-8AEB-D910257B6392
Q21282116,Tomasz Rzymkowski,Q108524676,PiS,,,male,1986-07-31T00:00:00Z,11,Q21282116-025526C3-9449-4AF9-AAD1-CE186E602447
Q21282117,Jarosław Sachajko,Q108524687,Kukiz15,,,male,1971-08-08T00:00:00Z,11,Q21282117-EB8E5F86-F599-4569-9551-6E675205EEB7
Q21282118,Joanna Scheuring-Wielgus,Q108524674,Lewica,,,female,1972-02-08T00:00:00Z,11,Q21282118-13292E29-4EFB-4988-A61C-4F59CA83B111
Q21282119,Anna Schmidt,Q108524676,PiS,,,female,1978-11-11T00:00:00Z,11,Q21282119-1ECDC758-FDE3-471F-9855-E5FAD435CB9F
Q21282120,Łukasz Schreiber,Q108524676,PiS,,,male,1987-05-26T00:00:00Z,11,Q21282120-432D40EF-49D9-4AB7-B46C-822B15AFE140
Q21282121,Anna Maria Siarkowska,Q108524676,PiS,,,female,1982-03-23T00:00:00Z,11,Q21282121-4058EB53-5614-4E26-8E03-D0C1ADBB9198
Q21282124,Artur Soboń,Q108524676,PiS,,,male,1977-03-13T00:00:00Z,11,Q21282124-42C40F54-9E33-4ECE-BE9A-C7C340285D2A
Q21282125,Mirosława Stachowiak-Różecka,Q108524676,PiS,,,female,1973-07-08T00:00:00Z,11,Q21282125-86402CC4-329C-410D-92E0-144CF5F42E00
Q21282129,Mirosław Suchoń,Q108524677,Polska2050,,,male,1976-01-10T00:00:00Z,11,Q21282129-252ECB2C-5F92-48CA-BBD6-1EC327238BB7
Q21282130,Artur Szałabawka,Q108524676,PiS,,,male,1967-10-03T00:00:00Z,11,Q21282130-31E3906D-A8ED-4317-A887-745EC1292517
Q21282131,Józefa Szczurek-Żelazko,Q108524676,PiS,,,female,1961-03-14T00:00:00Z,11,Q21282131-B9904B76-6AB3-4AE4-931D-D8AC0DE9C909
Q21282132,Paweł Szefernaker,Q108524676,PiS,,,male,1987-02-27T00:00:00Z,11,Q21282132-7D153F53-FF22-4435-AB6A-EDC8D4A6A4DB
Q21282134,Adam Szłapka,Q108524655,KO,,,male,1984-12-06T00:00:00Z,11,Q21282134-8AB2CE5F-DDC7-47ED-B731-36C86F73DC68
Q21282135,Paweł Szramka,Q108524690,PS,,,male,1989-06-18T00:00:00Z,11,Q21282135-317ABBF9-D45F-4AF7-BBA7-3AD30F554617
Q21282136,Krzysztof Szulowski,Q108524676,PiS,,,male,1963-05-25T00:00:00Z,11,Q21282136-29DB4D3D-F9E5-41EE-B575-43D7F93E1C34
Q21282139,Ewa Szymańska,Q108524676,PiS,,,female,1952-04-24T00:00:00Z,11,Q21282139-04533ABC-1FF1-4727-951A-749898CEF248
